;ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo;id_estado;sigla;estado;regiao;pais
709;2004;3;CE;Outros;213213.0;100492;6;CE;Ceará;Nordeste;Brasil
710;2004;3;PE;Outros;152471.0;127433;17;PE;Pernambuco;Nordeste;Brasil
711;2004;3;AM;Outros;10124.0;46204;4;AM;Amazonas;Norte;Brasil
712;2004;3;MA;Outros;54270.0;49481;10;MA;Maranhão;Nordeste;Brasil
713;2004;3;RS;Outros;309474.0;419335;21;RS;Rio Grande do Sul;Sul;Brasil
714;2004;3;PB;Outros;72472.0;46770;15;PB;Paraíba;Nordeste;Brasil
715;2004;3;ES;Outros;122872.0;73459;8;ES;Espírito Santo;Sudeste;Brasil
716;2004;3;MS;Outros;57071.0;70091;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
717;2004;3;GO;Outros;141164.0;118531;9;GO;Goiás;Centro-Oeste;Brasil
718;2004;3;RJ;Outros;71021.0;411399;19;RJ;Rio de Janeiro;Sudeste;Brasil
719;2004;3;PR;Outros;367185.0;271528;16;PR;Paraná;Sul;Brasil
720;2004;3;PI;Outros;33259.0;31051;18;PI;Piauí;Nordeste;Brasil
721;2004;3;SC;Outros;227419.0;212391;24;SC;Santa Catarina;Sul;Brasil
722;2004;3;AL;Outros;17018.0;41702;2;AL;Alagoas;Nordeste;Brasil
723;2004;3;BA;Outros;214104.0;179779;5;BA;Bahia;Nordeste;Brasil
724;2004;3;SP;Outros;314566.0;964620;25;SP;São Paulo;Sudeste;Brasil
725;2004;3;AC;Outros;10080.0;9586;1;AC;Acre;Norte;Brasil
726;2004;3;DF;Outros;12159.0;70051;7;DF;Distrito Federal;Centro-Oeste;Brasil
727;2004;3;AP;Outros;2457.0;10318;3;AP;Amapá;Norte;Brasil
728;2004;3;MG;Outros;481324.0;334727;13;MG;Minas Gerais;Sudeste;Brasil
729;2004;4;BA;Outros;214449.0;188967;5;BA;Bahia;Nordeste;Brasil
730;2004;4;RS;Outros;313308.0;352188;21;RS;Rio Grande do Sul;Sul;Brasil
731;2004;4;CE;Outros;206099.0;103864;6;CE;Ceará;Nordeste;Brasil
732;2004;4;SE;Outros;17449.0;35773;26;SE;Sergipe;Nordeste;Brasil
733;2004;4;RO;Outros;59431.0;24884;22;RO;Rondônia;Norte;Brasil
734;2004;4;SP;Outros;314687.0;960806;25;SP;São Paulo;Sudeste;Brasil
735;2004;4;PA;Outros;29320.0;80899;14;PA;Pará;Norte;Brasil
736;2004;4;PR;Outros;368131.0;275676;16;PR;Paraná;Sul;Brasil
737;2004;4;MA;Outros;55132.0;49675;10;MA;Maranhão;Nordeste;Brasil
738;2004;4;AM;Outros;10242.0;50202;4;AM;Amazonas;Norte;Brasil
739;2004;4;PI;Outros;33298.0;32933;18;PI;Piauí;Nordeste;Brasil
740;2004;4;MG;Outros;482934.0;351186;13;MG;Minas Gerais;Sudeste;Brasil
741;2004;4;GO;Outros;141777.0;130291;9;GO;Goiás;Centro-Oeste;Brasil
742;2004;4;MT;Outros;64031.0;73039;11;MT;Mato Grosso;Centro-Oeste;Brasil
743;2004;4;AL;Outros;16710.0;47473;2;AL;Alagoas;Nordeste;Brasil
744;2004;4;SC;Outros;228104.0;205067;24;SC;Santa Catarina;Sul;Brasil
745;2004;4;TO;Outros;22675.0;20738;27;TO;Tocantins;Norte;Brasil
746;2004;4;MS;Outros;57186.0;71053;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
747;2004;4;AC;Outros;10101.0;10355;1;AC;Acre;Norte;Brasil
748;2004;4;AP;Outros;2270.0;11132;3;AP;Amapá;Norte;Brasil
749;2004;4;RR;Outros;4887.0;9772;23;RR;Roraima;Norte;Brasil
750;2004;4;DF;Outros;12124.0;81641;7;DF;Distrito Federal;Centro-Oeste;Brasil
751;2004;4;PB;Outros;73258.0;49335;15;PB;Paraíba;Nordeste;Brasil
752;2004;4;RJ;Outros;71470.0;416288;19;RJ;Rio de Janeiro;Sudeste;Brasil
753;2004;4;PE;Outros;151308.0;134958;17;PE;Pernambuco;Nordeste;Brasil
754;2004;4;ES;Outros;122816.0;73724;8;ES;Espírito Santo;Sudeste;Brasil
755;2004;4;RN;Outros;41014.0;60882;20;RN;Rio Grande do Norte;Nordeste;Brasil
756;2004;5;MG;Outros;484897.0;371149;13;MG;Minas Gerais;Sudeste;Brasil
757;2004;5;AM;Outros;10461.0;49832;4;AM;Amazonas;Norte;Brasil
758;2004;5;PI;Outros;33390.0;32651;18;PI;Piauí;Nordeste;Brasil
759;2004;5;SC;Outros;228316.0;202066;24;SC;Santa Catarina;Sul;Brasil
760;2004;5;RN;Outros;41175.0;60099;20;RN;Rio Grande do Norte;Nordeste;Brasil
761;2004;5;MA;Outros;55326.0;51359;10;MA;Maranhão;Nordeste;Brasil
